Taxonkey,TaxonName,CommonName
600089,Acanthocybium solandri,Wahoo
612962,Allocyttus niger,Black oreo
600487,Ammodytes personatus,Pacific sandeel
603810,Anarhichas denticulatus,Northern wolffish
602501,Anarhichas lupus,Wolf-fish
603811,Anarhichas minor,Spotted wolffish
600512,Anoplopoma fimbria,Sablefish
690201,Apostichopus japonicus,Japanese sea cucumber
610220,Arius thalassinus,Giant seacatfish
690024,Artemesia longinaris,Argentine stiletto shrimp
600093,Auxis rochei rochei,Bullet tuna
600094,Auxis thazard thazard,Frigate tuna
600319,Boreogadus saida,Polar cod
600391,Brama brama,Atlantic pomfret
601589,Brevoortia patronus,Gulf menhaden
600051,Brosme brosme,Tusk
690203,Cancer borealis,Jonah crab
690031,Cancer irroratus,Atlantic rock crab
690115,Cancer magister,Dungeness crab
690119,Cancer pagurus,Edible crab
690087,Cardium edule,Common edible cockle
600548,Cetengraulis mysticetus,Pacific anchoveta
600507,Chelidonichthys kumu,Bluefin gurnard
601366,Chelidonichthys lucerna,Tub gurnard
690313,Chionoecetes opilio,Queen crab
600024,Clupea harengus,Atlantic herring
601520,Clupea pallasii pallasii,Pacific herring
600303,Cololabis saira,Pacific saury
690127,Concholepas concholepas,False abalone
600231,Coregonus albula,Vendace
602669,Coregonus autumnalis,Arctic cisco
600232,Coregonus lavaretus,Common whitefish
602674,Coregonus nasus,Broad whitefish
600233,Coregonus oxyrinchus,Houting
600006,Coryphaena hippurus,Common dolphinfish
690091,Crangon crangon,Common shrimp
690283,Crassostrea gigas,Pacific cupped oyster
690232,Crassostrea rhizophorae,Mangrove cupped oyster
690009,Crassostrea virginica,American cupped oyster
600062,Cyclopterus lumpus,Lumpsucker
600405,Cynoscion nebulosus,Spotted weakfish
600407,Cynoscion striatus,South American striped weakfish
600374,Decapterus russelli,Indian scad
600063,Dicentrarchus labrax,European seabass
600394,Dicentrarchus punctatus,Spotted seabass
600467,Dissostichus eleginoides,Patagonian toothfish
607039,Dissostichus mawsoni,Antarctic toothfish
601659,Engraulis anchoita,Argentine anchoita
601661,Engraulis capensis,Cape anchovy
600066,Engraulis encrasicolus,European anchovy
601663,Engraulis japonicus,Japanese anchovy
601664,Engraulis mordax,Californian anchovy
600004,Engraulis ringens,Anchoveta
690754,Ensis ensis,Pod razor
600426,Epinephelus aeneus,White grouper
606465,Epinephelus coioides,Orange-spotted grouper
600015,Epinephelus guttatus,Red hind
604923,Epinephelus merra,Honeycomb grouper
600018,Epinephelus striatus,Nassau grouper
604461,Epinephelus tauvina,Greasy grouper
601456,Etrumeus whiteheadi,Whiteheads round herring
600096,Euthynnus affinis,Kawakawa
600097,Euthynnus alletteratus,Little tunny
600098,Euthynnus lineatus,Black skipjack
600068,Eutrigla gurnardus,Grey gurnard
690265,Farfantepenaeus aztecus,Northern brown shrimp
690327,Farfantepenaeus brasiliensis,Redspotted shrimp
690100,Farfantepenaeus brevirostris,Crystal shrimp
690444,Farfantepenaeus californiensis,Yellowleg shrimp
690268,Farfantepenaeus duorarum,Northern pink shrimp
690378,Farfantepenaeus notialis,Southern pink shrimp
690338,Farfantepenaeus paulensis,Sao Paulo shrimp
690133,Fenneropenaeus chinensis,Fleshy prawn
690189,Fenneropenaeus indicus,Indian white prawn
690042,Fenneropenaeus merguiensis,Banana prawn
600308,Gadus macrocephalus,Pacific cod
600069,Gadus morhua,Atlantic cod
600309,Gadus ogac,Greenland cod
600482,Genypterus blacodes,Pink cusk-eel
600485,Genypterus capensis,Kingklip
600106,Gymnosarda unicolor,Dogtooth tuna
690146,Haliotis gigantea,Giant abalone
690049,Haliotis rubra,Blacklip abalone
690420,Haliotis tuberculata,Tuberculate abalone
690077,Heterocarpus reedi,Chilean nylon shrimp
690610,Heterocarpus vicarius,Northern nylon shrimp
601371,Hippoglossus hippoglossus,Atlantic halibut
600514,Hippoglossus stenolepis,Pacific halibut
690010,Homarus americanus,American lobster
690125,Homarus gammarus,European lobster
600334,Hoplostethus atlanticus,Orange roughy
690023,Illex argentinus,Argentine shortfin squid
690059,Illex coindetii,Broadtail shortfin squid
690271,Illex illecebrosus,Northern shortfin squid
600078,Istiophorus albicans,Atlantic sailfish
600077,Istiophorus platypterus,Indo-Pacific sailfish
690321,Jasus edwardsii,Red rock lobster
690205,Jasus frontalis,Juan Fernandez rock lobster
690696,Jasus novaehollandiae,Southern rock lobster
690161,Jasus verreauxi,Green rock lobster
600107,Katsuwonus pelamis,Skipjack tuna
600416,Larimichthys polyactis,Yellow croaker
600346,Lates calcarifer,Barramundi
600027,Lepidorhombus boscii,Fourspotted megrim
600028,Lepidorhombus whiffiagonis,Megrim
601863,Lethrinus lentjan,Pink ear emperor
601846,Lethrinus nebulosus,Spangled emperor
600520,Limanda aspera,Yellowfin sole
600521,Limanda ferruginea,Yellowtail flounder
600695,Limanda limanda,Dab
690377,Lithodes antarcticus,Southern king crab
690399,Lithodes maia,Stone king crab
690433,Litopenaeus occidentalis,Western white shrimp
690272,Litopenaeus setiferus,Northern white shrimp
690054,Litopenaeus stylirostris,Blue shrimp
690440,Litopenaeus vannamei,Whiteleg shrimp
600532,Lophius americanus,American angler
605094,Lophius budegassa,Black-bellied angler
601078,Lophius gastrophysus,Blackfin goosefish
600716,Lophius piscatorius,Angler
604988,Lophius vaillanti,Shortspine African angler
610256,Lophius vomerinus,Cape monk
690078,Loxechinus albus,Chilean sea urchin
600152,Lutjanus guttatus,Spotted rose snapper
600171,Lutjanus purpureus,Southern red snapper
600331,Macrourus berglax,Onion-eye grenadier
607138,Macrourus holotrachys,Bigeye grenadier
600217,Makaira indica,Black marlin
600218,Makaira mazara,Indo-Pacific blue marlin
600216,Makaira nigricans,Atlantic blue marlin
600252,Mallotus villosus,Capelin
690219,Marsupenaeus japonicus,Kuruma prawn
601381,Melanogrammus aeglefinus,Haddock
690070,Melicertus kerathurus,Caramote prawn
690432,Melicertus latisulcatus,Western king prawn
600029,Merlangius merlangus,Whiting
601827,Merluccius angustimanus,Panama hake
600322,Merluccius australis,Southern hake
600323,Merluccius bilinearis,Silver hake
601828,Merluccius capensis,Shallow-water Cape hake
600324,Merluccius gayi gayi,South Pacific hake
614693,Merluccius gayi peruanus,Peruvian hake
600325,Merluccius hubbsi,Argentine hake
600030,Merluccius merluccius,European hake
600327,Merluccius polli,Benguela hake
600326,Merluccius productus,North Pacific hake
600321,Merluccius senegalensis,Senegalese hake
690356,Metapenaeus joyneri,Shiba shrimp
690383,Metapenaeus monoceros,Speckled shrimp
600320,Micromesistius australis,Southern blue whiting
600031,Micromesistius poutassou,Blue whiting
601382,Microstomus kitt,Lemon sole
601383,Molva dypterygia,Blue ling
600033,Molva molva,Ling
614063,Mullus argentinae,Argentine goatfish
600790,Mullus barbatus barbatus,Red mullet
600298,Muraenesox cinereus,Daggertooth pike conger
607126,Muraenolepis microps,Smalleye moray cod
690053,Mytilus edulis,Blue mussel
690241,Mytilus galloprovincialis,Mediterranean mussel
690694,Nematopalaemon schmitti,Whitebelly prawn
690273,Nephrops norvegicus,Norway lobster
690088,Octopus vulgaris,Common octopus
690470,Ommastrephes bartramii,Neon flying squid
600240,Oncorhynchus gorbuscha,Pink salmon
600241,Oncorhynchus keta,Chum salmon
600245,Oncorhynchus kisutch,Coho salmon
600239,Oncorhynchus mykiss,Rainbow trout
600243,Oncorhynchus nerka,Sockeye salmon
600244,Oncorhynchus tshawytscha,Chinook salmon
600108,Orcynopsis unicolor,Plain bonito
690123,Ostrea edulis,European flat oyster
606426,Pagrus auratus,Squirefish
605066,Pagrus auriga,Redbanded seabream
604540,Pagrus caeruleostictus,Bluespotted seabream
601756,Pagrus pagrus,Common seabream
690680,Palaemon longirostris,Delta prawn
690090,Palaemon serratus,Common prawn
690269,Pandalus borealis,Northern prawn
690660,Pandalus jordani,Ocean shrimp
690003,Pandalus montagui,Aesop shrimp
690071,Panulirus argus,Caribbean spiny lobster
690039,Panulirus cygnus,Australian spiny lobster
690619,Panulirus gracilis,Blue spiny lobster
690341,Panulirus homarus,Scalloped spiny lobster
690228,Panulirus longipes,Longlegged spiny lobster
690168,Parapenaeopsis atlantica,Guinea shrimp
690109,Parapenaeus longirostris,Deepwater rose shrimp
690156,Pecten maximus,Great Atlantic scallop
690151,Penaeus monodon,Giant tiger prawn
690328,Penaeus penicillatus,Redtail prawn
690163,Penaeus semisulcatus,Green tiger prawn
690011,Placopecten magellanicus,American sea scallop
600510,Pleurogrammus azonus,Okhostk atka mackerel
604037,Pleurogrammus monopterygius,Atka mackerel
601342,Pleuronectes platessa,European plaice
600034,Pollachius pollachius,Pollack
601343,Pollachius virens,Saithe
600399,Pomadasys argenteus,Silver grunt
600513,Psettodes erumei,Indian spiny turbot
603542,Rachycentron canadum,Cobia
600111,Rastrelliger kanagurta,Indian mackerel
600516,Reinhardtius hippoglossoides,Greenland halibut
690166,Ruditapes decussatus,Grooved carpet shell
600236,Salmo salar,Atlantic salmon
600238,Salmo trutta trutta,Sea trout
600113,Sarda chiliensis chiliensis,Eastern Pacific bonito
600114,Sarda orientalis,Striped bonito
600115,Sarda sarda,Atlantic bonito
601350,Sardina pilchardus,European pilchard
601511,Sardinella longiceps,Indian oil sardine
601477,Sardinops sagax,South American pilchard
600116,Scomber australasicus,Blue mackerel
600117,Scomber japonicus,Chub mackerel
600118,Scomber scombrus,Atlantic mackerel
600121,Scomberomorus commerson,Narrow-barred Spanish mackerel
600131,Scomberomorus niphonius,Japanese Spanish mackerel
600136,Scomberomorus sierra,Pacific sierra
600141,Scomberomorus tritor,West African Spanish mackerel
600845,Scyliorhinus canicula,Smallspotted catshark
600854,Scyliorhinus stellaris,Nursehound
600504,Sebastes alutus,Pacific ocean perch
600501,Sebastes marinus,Ocean perch
600505,Sebastes mentella,Deepwater redfish
601352,Sebastes viviparus,Norway redfish
690085,Sepia officinalis,Common cuttlefish
600525,Solea solea,Common sole
601164,Sparus aurata,Gilthead seabream
690631,Spisula ovalis,Venus clam
690671,Spisula solida,Surf clam
690033,Spisula solidissima,Atlantic surf clam
601466,Sprattus fuegensis,Falkland sprat
601357,Sprattus sprattus,European sprat
600139,Squalus acanthias,Piked dogfish
390017,Stomatopoda,Mantis shrimps
690309,Tapes pullastra,Pullet carpet shell
600219,Tetrapturus albidus,Atlantic white marlin
603915,Tetrapturus angustirostris,Shortbill spearfish
600223,Tetrapturus audax,Striped marlin
600220,Tetrapturus pfluegeri,Longbill spearfish
600142,Thunnus alalunga,Albacore
600143,Thunnus albacares,Yellowfin tuna
600144,Thunnus atlanticus,Blackfin tuna
600145,Thunnus maccoyii,Southern bluefin tuna
600146,Thunnus obesus,Bigeye tuna
614290,Thunnus orientalis,Pacific bluefin tuna
600147,Thunnus thynnus,Atlantic bluefin tuna
600148,Thunnus tonggol,Longtail tuna
600489,Thyrsites atun,Snoek
690198,Todarodes pacificus,Japanese flying squid
690124,Todarodes sagittatus,European flying squid
605382,Trachurus capensis,Cape horse mackerel
600372,Trachurus declivis,Greenback horse mackerel
600366,Trachurus japonicus,Japanese jack mackerel
600369,Trachurus lathami,Rough scad
601278,Trachurus mediterraneus,Mediterranean horse mackerel
600367,Trachurus murphyi,Inca scad
601279,Trachurus picturatus,Blue jack mackerel
600368,Trachurus symmetricus,Pacific jack mackerel
601365,Trachurus trachurus,Atlantic horse mackerel
600371,Trachurus trecae,Cunene horse mackerel
690379,Trachysalambria curvirostris,Southern rough shrimp
601288,Trichiurus lepturus,Largehead hairtail
600481,Trisopterus minutus,Poor cod
600311,Urophycis brasiliensis,Brazilian codling
600312,Urophycis chuss,Red hake
600313,Urophycis tenuis,White hake
690404,Venus (=Chamelea) gallina,Striped venus
600226,Xiphias gladius,Swordfish
690032,Xiphopenaeus kroyeri,Atlantic seabob
690288,Xiphopenaeus kroyeri,Atlantic seabob
601370,Zeus faber,John dory
690686,Zygochlamys patagonica,Patagonean scallop